<<<<<<<< HEAD:datasets/LLM_generated/pricesLLMGlobal.csv
Country,University,CollegeRank,Tuition,PercOfIntStud,AcceptanceRate,SafetyIndex,LivingCost,RentCost,GroceriesCost,RecreationCost,HealthcareCost,TransportCost,Link,Computer Science,Business,Economics,Psychology,Biology,Law,Medicine,Mathematics,Art,Physics,Latitude,Longitude,Ranking,region,SafetyCategory
ALBANIA,University of Tirana,1001+,1500,5,60,70,600,250,150,50,100,30,https://unitir.edu.al,1,1,1,1,1,1,1,0,1,1,41.3275,19.8189,2001.0,Europe,medium-high safety
ALGERIA,University of Algiers,1001+,800,2,50,65,550,200,120,60,120,40,http://www.univ-alger.dz,1,1,1,0,1,1,1,1,1,1,36.7529,3.042,2001.0,Africa,medium-high safety
ARGENTINA,University of Buenos Aires,131,0,8,65,70,600,250,150,100,200,30,https://www.uba.ar,1,1,1,1,1,1,1,1,1,1,-34.5997,-58.3721,2001.0,Southern America,medium-high safety
ARMENIA,Yerevan State University,1001+,2000,6,40,70,600,250,120,50,150,40,https://www.ysu.am,1,1,1,0,1,1,1,1,1,1,40.1872,44.5152,1902.0,Asia,medium-high safety
AUSTRALIA,University of Melbourne,32,32000,44,70,85,2000,1200,400,200,1000,90,https://www.unimelb.edu.au,1,1,1,1,1,1,1,1,1,1,-37.7962,144.9614,37.0,Oceania,high-safety
AUSTRALIA,University of Sydney,37,36000,45,30,85,2200,1300,400,200,1000,90,https://www.sydney.edu.au,1,1,1,1,1,1,1,1,1,1,-33.8886,151.1872,60.0,Oceania,high-safety
AUSTRALIA,University of New South Wales,49,33000,40,30,82,2000,1200,400,200,700,90,https://www.unsw.edu.au,1,1,1,1,1,1,1,1,1,1,-33.917,151.2311,1167.0,Oceania,high-safety
AUSTRALIA,University of Queensland,58,32000,39,40,85,2000,1100,400,200,700,90,https://www.uq.edu.au,1,1,1,1,1,1,1,1,1,1,-27.4975,153.0137,70.0,Oceania,high-safety
AUSTRALIA,University of Adelaide,64,28000,31,44,87,1800,900,300,150,600,70,https://www.adelaide.edu.au,1,1,1,1,1,1,1,1,1,1,-34.9212,138.605,111.0,Oceania,high-safety
AUSTRALIA,Macquarie University,282,25000,27,40,85,2200,900,350,200,400,100,https://www.mq.edu.au,1,1,1,1,1,1,0,1,1,1,-33.7739,151.1117,180.0,Oceania,high-safety
AUSTRALIA,University of Tasmania,377,22000,19,75,88,1600,650,300,200,400,60,https://www.utas.edu.au,1,1,1,1,1,1,1,1,1,1,-42.9036,147.3272,297.0,Oceania,high-safety
AUSTRALIA,University of Wollongong,383,24000,25,75,90,1800,750,350,200,400,65,https://www.uow.edu.au,1,1,1,1,1,1,1,1,1,1,-34.4065,150.8785,250.0,Oceania,high-safety
AUSTRALIA,University of Western Australia,489,35000,25,63,88,1900,850,370,210,500,70,https://www.uwa.edu.au,1,1,1,1,1,1,1,1,1,1,-31.9797,115.8199,144.0,Oceania,high-safety
